k,diameter,covers,sec_radius,n_vertices,area,helper_in_wedges
199,141.12350004327484,1,70.56175002163742,4,2457.8360698431497,1
200,93.68938337322092,1,46.84469168661046,4,994.1917890854966,1
201,65.03660165108579,1,32.518300825542894,4,955.9599263151031,1
202,94.66821728247771,1,47.334108641238856,4,1318.894158666284,1
203,195.98653986162958,1,97.99326993081479,5,3895.276475990191,1
204,798.8660442199365,1,399.43302210996825,5,14930.499533884082,1
205,866.5873494989486,1,433.2936747494743,5,20311.080398031758,1
206,205.19659602048552,1,102.59829801024276,4,2636.997576356458,1
207,84.0030238763733,1,42.00151193818665,4,1023.3469431808771,1
208,14.650312658343838,1,7.325156329171919,4,91.94568378932308,1
209,258.60428307891385,1,129.30214153945693,4,3295.720778856794,1
210,484.35959813410955,1,242.17979906705477,4,6841.32009522898,1
211,687.4979660032091,1,343.74898300160453,4,8019.431173687713,1
212,59.659378422441804,1,29.829689211220902,4,614.5157865779111,1
213,213.04731038351846,1,106.52365519175923,4,3206.420650805805,1
214,37.11898103279823,1,18.559490516399116,4,491.411712851575,1
215,326.5512420762964,1,163.2756210381482,4,5743.06246418778,1
216,71.37880040577282,1,35.68940020288641,4,754.4374465740402,1
217,520.8292610333027,0,260.48643947427286,5,13783.86186633649,1
218,22.443559910492834,1,11.221779955246417,3,73.8462476428831,1
219,79.28498104998826,1,39.64249052499413,4,918.8143974544619,1
220,120.71196200768887,1,60.355981003844434,4,945.8332915040373,1
221,89.42432451402571,1,44.71216225701286,4,1273.9431260726706,1
222,105.04096056537297,1,52.520480282686485,4,1614.8418067412276,1
223,82.97952220706573,1,41.489761103532864,4,1102.5045916013842,1
224,762.4361832107824,0,381.25009920075837,4,14178.157738952992,0
225,42.02876905465137,1,21.014384527325685,4,476.8267516162541,1
226,383.95081034864995,1,191.97540517432498,5,7359.265380164317,1
227,144.34219108226478,1,72.17109554113239,4,1716.9223667707774,1
228,113.7047260636877,1,56.85236303184385,4,1765.3398712570342,1
229,14.611012331578973,1,7.305506165789486,4,63.15856043385884,1
230,228.5828795193811,1,114.29143975969055,4,3716.669064571397,1
231,18.342932628357453,1,9.171466314178726,4,58.30938230546781,1
232,40.612712475400556,1,20.306356237700278,4,291.6946483632132,1
233,95.7992452907137,1,47.89962264535685,4,1056.6046436192628,1
234,460.39536623422833,1,230.19768311711417,4,4992.3191832476,1
235,263.1940522136135,1,131.59702610680674,4,4459.82349113292,1
236,66.51252536154448,1,33.25626268077224,4,662.93046255636,1
237,24.016493491922812,1,12.008246745961406,4,85.47278936996008,1
238,387.35102954336264,1,193.67551477168132,4,6498.092373890606,1
239,265.6266039193974,1,132.8133019596987,4,5782.938083915127,1
240,44.85325010641578,1,22.42662505320789,4,225.76257063181765,1
241,40.55781402932915,1,20.278907014664576,4,304.1159080229354,1
242,97.22530644076534,1,48.61265322038267,4,1167.072591747954,1
243,141.92415866170745,1,70.96207933085373,4,2163.855052787396,1
244,62.12509309835901,1,31.062546549179505,4,746.1098595555595,1
245,70.27089531003517,1,35.135447655017586,4,906.4696368370933,1
246,154.69773553467178,1,77.34886776733589,4,1483.3288678063545,1
247,87.45118201137889,1,43.725591005689445,4,1348.0045565301843,1
248,700.9366103662366,1,350.4683051831183,4,9691.48877919768,1
249,1007.3282451032992,1,503.6641225516496,4,23022.230590846026,0
250,501.3848462088229,1,250.69242310441146,5,10441.424792017671,1
251,509.79747015808397,1,254.89873507904198,4,7474.098580475518,1
252,203.42415296168224,1,101.71207648084112,4,3351.3092148118885,1
253,57.899890495573885,1,28.949945247786943,4,423.81895293131674,1
254,22.91414744822074,1,11.45707372411037,4,180.2967629951454,1
255,24.811695351885458,1,12.405847675942729,4,156.1287280084834,1
256,31.00588334206566,1,15.50294167103283,4,297.1852175250224,1
257,126.49716924011416,1,63.24858462005708,4,1041.4409864254558,1
258,179.63327078312838,1,89.81663539156419,4,2636.030033548108,1
259,35.59662652154901,1,17.798313260774506,4,269.36133989198106,1
260,193.7375845842861,1,96.86879229214306,4,1804.550147284348,1
261,96.96244074596487,1,48.481220372982435,4,545.7754841242008,1
262,75.49405214933239,1,37.747026074666195,4,506.21553582807064,1
263,206.12044870260561,1,103.06022435130281,4,3406.86562030029,1
264,353.4304368165092,1,176.7152184082546,4,5916.531878507463,1
265,57.049137751168104,1,28.524568875584052,4,673.5393567981737,1
266,39.398528167118435,1,19.699264083559218,4,427.11827364607416,1
267,345.3467613194805,1,172.67338065974025,4,3241.6483626433765,1
268,178.53137631562157,1,89.26568815781079,4,2883.280306222601,1
269,351.0650521510573,1,175.53252607552864,5,9006.0942476661,1
270,889.6554521019663,1,444.82772605098313,5,18143.065844716053,1
271,229.70008897609975,1,114.85004448804987,4,1527.4257218635757,1
272,69.71865052365752,1,34.85932526182876,4,737.9784879148647,1
273,37.88229425094779,1,18.941147125473893,4,342.31488959172566,1
274,358.7639894811789,1,179.38199474058945,5,7771.425954301725,1
275,103.24681655357332,1,51.62340827678666,4,1444.170247535687,1
276,62.379243156916154,1,31.189621578458077,4,705.9652768295437,1
277,322.5036147318307,1,161.25180736591534,5,6518.61224942634,1
278,58.15961505205618,1,29.07980752602809,4,913.4864362326116,1
279,238.0763536820545,1,119.03817684102725,4,4545.852966480947,1
280,176.4066070780831,1,88.20330353904156,4,2925.8196192016767,1
281,64.75423509858584,1,32.37711754929292,4,533.3301903463453,1
282,120.5870320461104,1,60.2935160230552,4,1387.3831613050716,1
283,44.87240539071423,1,22.436202695357114,4,498.07350263674016,1
284,93.63283423272559,1,46.81641711636279,4,1845.2696527240332,1
285,84.57324496391372,1,42.28662248195686,4,1243.728345476251,1
286,64.7891399011257,1,32.39456995056285,4,679.5623368740489,1
287,144.79938537825706,1,72.39969268912853,5,3336.606619851751,1
288,357.9369663710445,1,178.96848318552225,4,2591.8691526246366,1
289,18.21025806957706,1,9.10512903478853,4,55.2963726788054,1
290,44.95790083913992,1,22.47895041956996,4,467.12748087296586,1
291,166.01149017917442,1,83.00574508958721,4,2804.434082175285,1
292,360.8159573808616,1,180.4079786904308,4,5185.331252938493,1
293,438.4204541291976,1,219.2102270645988,4,4876.082779379576,1
294,186.77099692243684,1,93.38549846121842,4,1976.3832648297248,1
295,73.09256740612476,1,36.54628370306238,4,923.6246594459226,1
296,1067.6476031368209,1,533.8238015684104,5,15589.058172195328,1
297,669.8703428051725,1,334.93517140258626,4,10286.625972153153,1
298,128.9844701186243,1,64.49223505931215,4,1364.1604913214069,1
299,313.95289148460563,1,156.97644574230281,4,4444.295912399176,1
300,192.04846863468106,1,96.02423431734053,4,1619.7100313626725,1
301,57.923549608623325,1,28.961774804311663,4,686.5610693723265,1
302,260.48796666466046,1,130.24398333233023,4,2969.5712639437697,1
303,229.88760278686772,1,114.94380139343386,4,3545.9295127742807,1
304,292.18991379612055,1,146.09495689806027,4,4539.707529076943,1
305,39.997661629963275,1,19.998830814981638,4,313.1711043997566,1
306,13.0305844084171,1,6.51529220420855,4,69.90392715394918,1
307,493.6553532987849,1,246.82767664939246,4,7639.09946442068,1
308,120.24511815711065,1,60.12255907855533,4,1056.5024163432463,1
